year,name,level,agency,sector,type,instrument,description,direction,outcome
1992,UN Framework Convention on Climate Change (UNFCCC),International,UN,Cross-cutting,Framework / target-setting,International commitment,"Stabilise GHG concentrations; no binding numeric target. Ireland signed 1992, ratified 1994.",Enabling,Foundational; start of measurement record
1997,Kyoto Protocol — 1st commitment period,International,UN,Cross-cutting,Framework / target-setting,International binding commitment,Ireland permitted +13% above 1990 over 2008–2012 (within EU burden-sharing). In force 2005.,Reduce,Target met (with land-use & credits)
2000,National Climate Change Strategy (1st),National,Dept of Environment & Local Govt,Cross-cutting,Strategic / planning,Planning / coordination,First national strategy; sectoral measures toward Kyoto. Reviewed 2002.,Reduce,Largely missed; emissions rose ~31% above 1990 by 2001
2003,EU Emissions Trading System (ETS) Directive 2003/87/EC,EU,European Commission,"Power, heavy industry, (later aviation)",Market-based,Carbon price / cap-and-trade,Cap-and-trade on large installations; operational from 2005.,Reduce,Operational; emissions in ETS sector declining
2006,Ireland's Pathway to Kyoto Compliance,National,Dept of Environment,Cross-cutting,Strategic / planning,Planning,Review setting out route to Kyoto compliance; basis for 2007 strategy.,Reduce,Transitional document
2007,National Climate Change Strategy 2007–2012,National,"Dept of Environment, Heritage & Local Govt",Cross-cutting,Strategic / planning,Planning,Sectoral measures to meet Kyoto target; first adaptation section.,Reduce,"Emissions fell mainly via 2008 recession, not policy"
2007,Carbon Fund Act 2007,National,Oireachtas / NTMA,Cross-cutting,Fiscal,State purchase of Kyoto units,Established Carbon Fund to buy Kyoto units to meet international obligations.,Enabling,Used to cover shortfall
2009,2020 Climate & Energy Package — Effort Sharing Decision 406/2009,EU,European Commission,"Non-ETS (transport, buildings, agriculture, waste)",Framework / target-setting,Binding national limit,"Ireland: −20% non-ETS emissions by 2020 vs 2005, with annual limits.",Reduce,"Missed via domestic action; ~5.7% delivered, used flexibilities"
2009,Renewable Energy Directive (RED I) 2009/28/EC,EU,European Commission,Energy,Regulatory / target-setting,Mandate,Ireland: 16% of gross final energy from renewables by 2020.,Reduce,Missed (13.5% in 2020)
2010,Carbon Tax (Finance Act 2010),National,Dept of Finance / Revenue,Heat & transport fuels (non-ETS),Fiscal / Market-based,Carbon price signal,Tax on CO2 of non-ETS fuels; legislated trajectory to €100/tonne by 2030; revenue ring-fenced.,Reduce,Operational & rising; measurable demand effects
